id_vente;id_bien;date_vente;valeur
0;0;2020-01-02;165000
1;1;2020-01-02;355680
2;2;2020-01-02;229500
3;3;2020-01-02;125000
4;4;2020-01-02;90000
5;5;2020-01-02;93000
6;6;2020-01-02;298100
7;7;2020-01-02;163500
8;8;2020-01-02;53000
9;9;2020-01-02;136000
10;10;2020-01-02;125900
11;11;2020-01-02;234000
12;12;2020-01-02;46210
13;13;2020-01-02;129000
14;14;2020-01-02;122500
15;15;2020-01-02;86025
16;16;2020-01-02;79000
17;17;2020-01-02;81795
18;18;2020-01-02;156000
19;19;2020-01-02;139900
20;20;2020-01-02;163870
21;21;2020-01-02;108100
22;22;2020-01-02;205000
23;23;2020-01-02;94000
24;24;2020-01-02;149500
25;25;2020-01-02;111500
26;26;2020-01-02;140000
27;27;2020-01-02;122850
28;28;2020-01-02;135850
29;29;2020-01-02;135500
30;30;2020-01-02;71250
31;31;2020-01-02;107000
32;32;2020-01-02;148400
33;33;2020-01-02;132000
34;34;2020-01-02;107194
35;35;2020-01-02;57200
36;36;2020-01-02;124770
37;37;2020-01-02;67000
38;38;2020-01-02;150830
39;39;2020-01-02;68900
40;40;2020-01-02;120000
41;41;2020-01-02;135460
42;42;2020-01-02;62000
43;43;2020-01-02;281000
44;44;2020-01-02;357000
45;45;2020-01-02;374000
46;46;2020-01-02;1147650
47;47;2020-01-02;145000
48;48;2020-01-02;324120
49;49;2020-01-02;408220
50;50;2020-01-02;582670
51;51;2020-01-02;80000
52;52;2020-01-02;840250
53;53;2020-01-02;266000
54;54;2020-01-02;473000
55;55;2020-01-02;207200
56;56;2020-01-02;49000
57;57;2020-01-02;101250
58;58;2020-01-02;35000
59;59;2020-01-02;132000
60;60;2020-01-02;472950
61;61;2020-01-02;478161
62;62;2020-01-02;153700
63;63;2020-01-02;155800
64;64;2020-01-02;624000
65;65;2020-01-02;135700
66;66;2020-01-02;196000
67;67;2020-01-02;172850
68;68;2020-01-02;120500
69;69;2020-01-02;224000
70;70;2020-01-02;367000
71;71;2020-01-02;132840
72;72;2020-01-02;78500
73;73;2020-01-02;72000
74;74;2020-01-02;107100
75;75;2020-01-02;134000
76;76;2020-01-02;68181
77;77;2020-01-02;275900
78;78;2020-01-02;160000
79;79;2020-01-02;267740
80;80;2020-01-02;395300
81;81;2020-01-02;269000
82;82;2020-01-02;406400
83;83;2020-01-02;326500
84;84;2020-01-02;275050
85;85;2020-01-02;138000
86;86;2020-01-02;65000
87;87;2020-01-02;185750
88;88;2020-01-02;235000
89;89;2020-01-02;176000
90;90;2020-01-02;140000
91;91;2020-01-02;170950
92;92;2020-01-02;265000
93;93;2020-01-02;112000
94;94;2020-01-03;102000
95;95;2020-01-03;142000
96;96;2020-01-03;164000
97;97;2020-01-03;33880
98;98;2020-01-03;71000
99;99;2020-01-03;43000
100;100;2020-01-03;181875
101;101;2020-01-03;240250
102;102;2020-01-03;616900
103;103;2020-01-03;212550
104;104;2020-01-03;317800
105;105;2020-01-03;420000
106;106;2020-01-03;44000
107;107;2020-01-03;237720
108;108;2020-01-03;146000
109;109;2020-01-03;69350
110;110;2020-01-03;121000
111;111;2020-01-03;70000
112;112;2020-01-03;145000
113;113;2020-01-03;43000
114;114;2020-01-03;210800
115;115;2020-01-03;210000
116;116;2020-01-03;96000
117;117;2020-01-03;135000
118;118;2020-01-03;37000
119;119;2020-01-03;190000
120;120;2020-01-03;39450
121;121;2020-01-03;28500
122;122;2020-01-03;158800
123;123;2020-01-03;268800
124;124;2020-01-03;96450
125;125;2020-01-03;28000
126;126;2020-01-03;73470
127;127;2020-01-03;49500
128;128;2020-01-03;67000
129;129;2020-01-03;176000
130;130;2020-01-03;278300
131;131;2020-01-03;296651
132;132;2020-01-03;159500
133;133;2020-01-03;98545
134;134;2020-01-03;98200
135;135;2020-01-03;110500
136;136;2020-01-03;44500
137;137;2020-01-03;332000
138;138;2020-01-03;221060
139;139;2020-01-03;174845
140;140;2020-01-03;42000
141;141;2020-01-03;445000
142;142;2020-01-03;232750
143;143;2020-01-03;257800
144;144;2020-01-03;125000
145;145;2020-01-03;104792,58
146;146;2020-01-03;146000
147;147;2020-01-03;174000
148;148;2020-01-03;110000
149;149;2020-01-03;370700
150;150;2020-01-03;62800
151;151;2020-01-03;251105
152;152;2020-01-03;342700
153;153;2020-01-03;65000
154;154;2020-01-03;133000
155;155;2020-01-03;66370
156;156;2020-01-03;594700
157;157;2020-01-03;71000
158;158;2020-01-03;140000
159;159;2020-01-03;112000
160;160;2020-01-03;121000
161;161;2020-01-03;109950
162;162;2020-01-03;314500
163;163;2020-01-03;167600
164;164;2020-01-03;157080
165;165;2020-01-03;164720
166;166;2020-01-03;273080
167;167;2020-01-03;118650
168;168;2020-01-03;157000
169;169;2020-01-03;63885
170;170;2020-01-03;255000
171;171;2020-01-03;445000
172;172;2020-01-03;852000
173;173;2020-01-03;335000
174;174;2020-01-03;278500
175;175;2020-01-03;497270
176;176;2020-01-03;1469500
177;177;2020-01-03;270000
178;178;2020-01-03;434000
179;179;2020-01-03;352000
180;180;2020-01-03;512000
181;181;2020-01-03;246150
182;182;2020-01-03;573721
183;183;2020-01-03;917350
184;184;2020-01-03;625500
185;185;2020-01-03;673315
186;186;2020-01-03;707350
187;187;2020-01-03;461200
188;188;2020-01-03;502700
189;189;2020-01-03;276000
190;190;2020-01-03;638000
191;191;2020-01-03;196500
192;192;2020-01-03;34500
193;193;2020-01-03;116000
194;194;2020-01-03;93200
195;195;2020-01-03;142000
196;196;2020-01-03;98000
197;197;2020-01-03;172500
198;198;2020-01-03;141000
199;199;2020-01-03;440000
200;200;2020-01-03;131600
201;201;2020-01-03;205000
202;202;2020-01-03;93800
203;203;2020-01-03;135450
204;204;2020-01-03;102000
205;205;2020-01-03;185000
206;206;2020-01-03;196100
207;207;2020-01-03;212231
208;208;2020-01-03;113000
209;209;2020-01-03;331000
210;210;2020-01-03;93000
211;211;2020-01-03;596370
212;212;2020-01-03;97000
213;213;2020-01-03;305000
214;214;2020-01-03;99840
215;215;2020-01-03;150020
216;216;2020-01-03;300000
217;217;2020-01-03;121000
218;218;2020-01-03;148570
219;219;2020-01-03;105840
220;220;2020-01-03;138000
221;221;2020-01-03;33000
222;222;2020-01-03;40000
223;223;2020-01-03;56650
224;224;2020-01-03;160000
225;225;2020-01-03;360000
226;226;2020-01-03;171000
227;227;2020-01-03;213500
228;228;2020-01-03;157500
229;229;2020-01-03;255680
230;230;2020-01-03;244000
231;231;2020-01-03;435000
232;232;2020-01-03;254000
233;233;2020-01-03;284984
234;234;2020-01-03;302000
235;235;2020-01-03;548000
236;236;2020-01-03;877100
237;237;2020-01-03;213615
238;238;2020-01-03;300800
239;239;2020-01-03;857950
240;240;2020-01-03;380000
241;241;2020-01-03;318700
242;242;2020-01-03;256760
243;243;2020-01-03;291262
244;244;2020-01-03;161320
245;245;2020-01-03;164000
246;246;2020-01-03;662300
247;247;2020-01-03;227600
248;248;2020-01-03;312450
249;249;2020-01-03;348450
250;250;2020-01-03;298333
251;251;2020-01-03;326200
252;252;2020-01-03;349000
253;253;2020-01-03;43000
254;254;2020-01-03;192000
255;255;2020-01-03;142100
256;256;2020-01-03;572000
257;257;2020-01-03;130000
258;258;2020-01-03;134000
259;259;2020-01-03;209000
260;260;2020-01-03;378850
261;261;2020-01-03;440425
262;262;2020-01-03;331000
263;263;2020-01-03;410370
264;264;2020-01-03;145000
265;265;2020-01-03;218000
266;266;2020-01-03;269000
267;267;2020-01-03;374675
268;268;2020-01-03;163000
269;269;2020-01-03;224500
270;270;2020-01-03;159000
271;271;2020-01-03;195600
272;272;2020-01-03;240000
273;273;2020-01-03;174000
274;274;2020-01-04;84000
275;275;2020-01-04;76100
276;276;2020-01-04;67750
277;277;2020-01-04;75200
278;278;2020-01-04;176000
279;279;2020-01-04;123000
280;280;2020-01-04;87900
281;281;2020-01-04;57200
282;282;2020-01-04;74000
283;283;2020-01-06;285000
284;284;2020-01-06;429250
285;285;2020-01-06;196000
286;286;2020-01-06;443000
287;287;2020-01-06;170000
288;288;2020-01-06;128600
289;289;2020-01-06;81000
290;290;2020-01-06;335000
291;291;2020-01-06;212200
292;292;2020-01-06;643815
293;293;2020-01-06;113200
294;294;2020-01-06;88000
295;295;2020-01-06;99500
296;296;2020-01-06;90000
297;297;2020-01-06;68600
298;298;2020-01-06;52000
299;299;2020-01-06;207500
300;300;2020-01-06;237000
301;301;2020-01-06;72200
302;302;2020-01-06;318000
303;303;2020-01-06;330850
304;304;2020-01-06;144950
305;305;2020-01-06;144000
306;306;2020-01-06;82000
307;307;2020-01-06;298000
308;308;2020-01-06;91000
309;309;2020-01-06;265000
310;310;2020-01-06;197000
311;311;2020-01-06;375000
312;312;2020-01-06;104000
313;313;2020-01-06;173000
314;314;2020-01-06;275000
315;315;2020-01-06;160000
316;316;2020-01-06;110000
317;317;2020-01-06;53900
318;318;2020-01-06;206300
319;319;2020-01-06;72000
320;320;2020-01-06;188900
321;321;2020-01-06;65000
322;322;2020-01-06;149500
323;323;2020-01-06;150900
324;324;2020-01-06;90000
325;325;2020-01-06;106000
326;326;2020-01-06;86000
327;327;2020-01-06;46000
328;328;2020-01-06;72000
329;329;2020-01-06;88000
330;330;2020-01-06;137000
331;331;2020-01-06;360000
332;332;2020-01-06;33000
333;333;2020-01-06;122450
334;334;2020-01-06;99750
335;335;2020-01-06;153300
336;336;2020-01-06;172950
337;337;2020-01-06;71530
338;338;2020-01-06;78000
339;339;2020-01-06;204000
340;340;2020-01-06;155000
341;341;2020-01-06;134000
342;342;2020-01-06;97000
343;343;2020-01-06;162000
344;344;2020-01-06;142200
345;345;2020-01-06;214000
346;346;2020-01-06;240000
347;347;2020-01-06;120000
348;348;2020-01-06;75200
349;349;2020-01-06;33000
350;350;2020-01-06;31000
351;351;2020-01-06;43000
352;352;2020-01-06;44950
353;353;2020-01-06;138000
354;354;2020-01-06;221300
355;355;2020-01-06;291000
356;356;2020-01-06;145000
357;357;2020-01-06;106000
358;358;2020-01-06;87000
359;359;2020-01-06;127900
360;360;2020-01-06;47000
361;361;2020-01-06;105003
362;362;2020-01-06;37000
363;363;2020-01-06;85500
364;364;2020-01-06;88000
365;365;2020-01-06;30500
366;366;2020-01-06;52381
367;367;2020-01-06;46000
368;368;2020-01-06;86000
369;369;2020-01-06;120300
370;370;2020-01-06;158500
371;371;2020-01-06;270000
372;372;2020-01-06;130000
373;373;2020-01-06;265320
374;374;2020-01-06;325000
375;375;2020-01-06;99900
376;376;2020-01-06;130000
377;377;2020-01-06;202380
378;378;2020-01-06;300000
379;379;2020-01-06;38200
380;380;2020-01-06;240000
381;381;2020-01-06;43000
382;382;2020-01-06;169000
383;383;2020-01-06;368000
384;384;2020-01-06;106574,1
385;385;2020-01-06;449000
386;386;2020-01-06;334450
387;387;2020-01-06;380000
388;388;2020-01-06;1829700
389;389;2020-01-06;3380000
390;390;2020-01-06;1565002
391;391;2020-01-06;800000
392;392;2020-01-06;362050
393;393;2020-01-06;482000
394;394;2020-01-06;601400
395;395;2020-01-06;506500
396;396;2020-01-06;204650
397;397;2020-01-06;1475700
398;398;2020-01-06;551800
399;399;2020-01-06;362300
400;400;2020-01-06;295700
401;401;2020-01-06;688292
402;402;2020-01-06;596650
403;403;2020-01-06;471000
404;404;2020-01-06;95000
405;405;2020-01-06;590000
406;406;2020-01-06;533000
407;407;2020-01-06;126000
408;408;2020-01-06;607500
409;409;2020-01-06;7420000
410;410;2020-01-06;328950
411;411;2020-01-06;552800
412;412;2020-01-06;343000
413;413;2020-01-06;532000
414;414;2020-01-06;1613000
415;415;2020-01-06;352500
416;416;2020-01-06;276930
417;417;2020-01-06;1188000
418;418;2020-01-06;112000
419;419;2020-01-06;403000
420;420;2020-01-06;60000
421;421;2020-01-06;124000
